"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","SEO Title","SEO Description","information (product.metafields.custom.information)","information (product.metafields.jetti.information)","Color (product.metafields.shopify.color-pattern)","Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products)","Related products (product.metafields.shopify--discovery--product_recommendation.related_products)","Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display)","Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries)","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"needles-track-jacket-poly-smooth-olive","Track Jacket Poly Smooth","<p>Sleek and sporty, this poly-smooth track jacket brings a refined edge to casual wear. The olive hue is accented by tonal striping along the sleeves and a stand collar, with smooth zip pockets and front closure for effortless layering.</p><ul><li>100% polyester</li><li>Front zip closure</li><li>Zip hand pockets</li><li>Stand collar</li><li>Tonal sleeve stripes</li><li>Color: Olive</li></ul><br><p>OT226</p>","Needles","Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Track Jackets","Activewear","Category: Clothing, Clothing, Convictional, monostate-anrosa, Needles, Season: SS24, Track Jacket Poly Smooth, validate-product-description","FALSE","Color","Olive","","Size","XS","","needles-track-jacket-poly-smooth-olive-xs-xs","1360","anrosa-store-com","deny","anrosa-store-com","390","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/23168164_53304193_2048.jpg?v=1759842108","Olive poly track jacket with stand collar and sleeve stripes, front view","FALSE","Needles Track Jacket Poly Smooth in Olive","Needles poly-smooth track jacket in olive with zip front, stand collar, and striped sleeves. 100% polyester. Shop refined sportswear style.","","","Green","track-pants-poly-smooth-olive, classic-white-tee, leather-sneakers-low","","","","kg","","331.5","active"
"needles-track-jacket-poly-smooth-olive","","","","","","","","","Olive","","","S","","needles-track-jacket-poly-smooth-olive-s-s","1360","anrosa-store-com","deny","anrosa-store-com","390","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/23168164_53304201_2048.jpg?v=1759842108","Olive track jacket, close front view showing butterfly chest logo","","","","","","","","","","","kg","","331.5",""
"needles-track-jacket-poly-smooth-olive","","","","","","","","","Olive","","","M","","needles-track-jacket-poly-smooth-olive-m-m","1360","anrosa-store-com","deny","anrosa-store-com","390","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/23168164_53304199_2048.jpg?v=1759842108","Detail view of chest logo and sleeve stripe on olive track jacket","","","","","","","","","","","kg","","331.5",""
"needles-track-jacket-poly-smooth-olive","","","","","","","","","Olive","","","L","","needles-track-jacket-poly-smooth-olive-l-l","1360","anrosa-store-com","deny","anrosa-store-com","390","","TRUE","TRUE","","","Back view of olive track jacket with striped sleeves","","","","","","","","","","","kg","","331.5",""
"needles-track-jacket-poly-smooth-olive","","","","","","","","","","","","","","","","","","","","","","","","","Olive track jacket with front zipper and zip pockets, studio view","","","","","","","","","","","","","",""
"jil-sander-twill-vest","Twill Vest","<p>A sharp twill vest with a minimalist silhouette and sleek zip front, crafted for a refined layered look. Four flap pockets add structured dimension while the clean lines deliver modern polish from day to night.</p><ul><li>Twill fabric</li><li>Front zip closure</li><li>Four flap pockets</li><li>Season: FW24</li><li>Unisex design</li></ul><br><p>J21FB0136J40203</p>","Jil sander","Apparel & Accessories > Clothing > Outerwear > Vests","Outerwear","adult, Category: Clothing, Clothing, Convictional, Creme, DC: 0279, DMN : j47gu0001j20010279, Gender: unisex, import_2021_02_24_135831, j47gu0001j20010279, JIL SANDER, monostate-anrosa, New, Season: SS23, SS23, unisex, validate-product-description","FALSE","Color","Black","","Size","XXS","","jil-sander-twill-vest-xxs-xxs","1000","anrosa-store-com","deny","anrosa-store-com","2190","","TRUE","TRUE","8056993767255","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/23920592_54283606_1000.jpg?v=1759842107","Black twill vest with zip and four flap pockets, front view","FALSE","Jil Sander Twill Vest – Black","Minimalist black twill vest with zip front and four flap pockets. A refined unisex layer for FW24 by Jil Sander.","","","Black","black-tailored-trousers, classic-black-shirt, leather-chelsea-boots","","","","kg","","1861.5","active"
"jil-sander-twill-vest","","","","","","","","","Black","","","XS","","jil-sander-twill-vest-xs-xs","1000","anrosa-store-com","deny","anrosa-store-com","2190","","TRUE","TRUE","8056993767255","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/23920592_54283609_1000.jpg?v=1759842108","Black twill vest, close front view with zip and pockets","","","","","","","","","","","kg","","1861.5",""
"jil-sander-twill-vest","","","","","","","","","Black","","","S","","jil-sander-twill-vest-s-s","1000","anrosa-store-com","deny","anrosa-store-com","2190","","TRUE","TRUE","8056993767255","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/23920592_54283613_1000.jpg?v=1759842107","Model wearing black twill vest layered under blazer, full look","","","","","","","","","","","kg","","1861.5",""
"jil-sander-twill-vest","","","","","","","","","Black","","","M","","jil-sander-twill-vest-m-m","1000","anrosa-store-com","deny","anrosa-store-com","2190","","TRUE","TRUE","8056993767255","","Side view of black twill vest showing layered pockets and zip","","","","","","","","","","","kg","","1861.5",""
"jil-sander-twill-vest","","","","","","","","","Black","","","L","","jil-sander-twill-vest-l-l","1000","anrosa-store-com","deny","anrosa-store-com","2190","","TRUE","TRUE","8056993767255","","","","","","","","","","","","","kg","","1861.5",""
"jil-sander-twill-vest","","","","","","","","","Black","","","XL","","jil-sander-twill-vest-xl-xl","1000","anrosa-store-com","deny","anrosa-store-com","2190","","TRUE","TRUE","8056993767255","","","","","","","","","","","","","kg","","1861.5",""
"balenciaga-paris-moon-crypto-tee-wash-black","Paris Moon Crypto Cotton T-Shirt","<p>A graphic tee with moody night-sky artwork and a relaxed silhouette. Crafted in soft cotton, the washed black finish gives a lived-in, edgy feel with a bold front graphic and emblem at the back.</p><ul><li>100% cotton</li><li>Washed black finish</li><li>Relaxed fit</li><li>Front graphic, back emblem</li><li>Breathable and soft</li></ul><br><p>Product Code: 791615TQVY22020</p>","Balenciaga","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","T-Shirts","Balenciaga, Black, Category: Clothing, Clothing, Convictional, DC: 2020, DMN: 791615TQVY22020, Gender: unisex, monostate-anrosa, Season: FW24, unisex, validate-product-description","FALSE","Color","Wash Black","","Size","XS","","balenciaga-paris-moon-crypto-tee-wash-black-xs-xs","1000","anrosa-store-com","deny","anrosa-store-com","850","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/BALENCIAGA-ParisMoonCryptoTeeWashBlack.webp?v=1759842107","Black graphic tee with Eiffel Tower and moon print","FALSE","Balenciaga Paris Moon Crypto Tee – Wash Black","Balenciaga cotton graphic tee in washed black with Paris moon artwork and relaxed fit. FW24 style. Shop sizes XS–L.","","","Black","straight-leg-denim, leather-belt, chunky-sneakers, black-cap","","","","kg","","722.5","active"
"balenciaga-paris-moon-crypto-tee-wash-black","","","","","","","","","Wash Black","","","S","","balenciaga-paris-moon-crypto-tee-wash-black-s-s","1000","anrosa-store-com","deny","anrosa-store-com","850","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/BALENCIAGA-ParisMoonCryptoTeeWashBlack2.webp?v=1759842108","Front view of washed black graphic tee","","","","","","","","","","","kg","","722.5",""
"balenciaga-paris-moon-crypto-tee-wash-black","","","","","","","","","Wash Black","","","M","","balenciaga-paris-moon-crypto-tee-wash-black-m-m","1000","anrosa-store-com","deny","anrosa-store-com","850","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/BALENCIAGA-ParisMoonCryptoTeeWashBlack3.webp?v=1759842108","Side view showing relaxed fit of washed black tee","","","","","","","","","","","kg","","722.5",""
"balenciaga-paris-moon-crypto-tee-wash-black","","","","","","","","","Wash Black","","","L","","balenciaga-paris-moon-crypto-tee-wash-black-l-l","1000","anrosa-store-com","deny","anrosa-store-com","850","","TRUE","TRUE","","","Back view with BB crypto-style emblem on black tee","","","","","","","","","","","kg","","722.5",""
"balenciaga-oversize-denim-jacket","Monogram Denim Oversize Jacket","<p>An oversized denim jacket in a washed light blue hue, crafted with a relaxed silhouette and subtle allover logo patterning. The classic trucker profile is elevated with modern proportions and a softly faded finish for lived-in ease.</p><ul><li>Denim cotton</li><li>Oversized fit</li><li>Allover logo monogram</li><li>Button front closure</li><li>Chest flap and side welt pockets</li><li>Season: SS24</li></ul><p></p><p>Product ID: 773616TPW534868</p>","Balenciaga","Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Trucker Jackets","Outerwear","761458TPVG11070, 773616TPW534868, adult, Balenciaga, Blue, Category: Clothing, Clothing, Convictional, DC: 4868, DMN: 773616TPW534868, Gender: unisex, import_2021_02_24_135831, male, monostate-anrosa, New, Season: SS24, SS24, validate-product-description","FALSE","Color","Light blue","","Size","","","balenciaga-oversize-denim-jacket-1-1","1000","anrosa-store-com","deny","anrosa-store-com","1650","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/22182113_51960834_2048.webp?v=1759842109","Light blue oversized denim jacket with monogram, front","FALSE","Balenciaga Oversized Denim Jacket – Light Blue","Oversized light blue denim jacket with allover logo and relaxed fit. Classic trucker details, button front, and chest pockets. SS24.","","","Blue","","","","","kg","","1402.5","active"
"balenciaga-oversize-denim-jacket","","","","","","","","","Light blue","","","","","balenciaga-oversize-denim-jacket-2-2","1000","anrosa-store-com","deny","anrosa-store-com","1650","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0641/5804/0249/files/22182113_51960804_2048.webp?v=1759842109","Light blue oversized denim jacket with monogram, back","","","","","","","","","","","kg","","1402.5",""
"balenciaga-oversize-denim-jacket","","","","","","","","","Light blue","","","","","balenciaga-oversize-denim-jacket-3-3","1000","anrosa-store-com","deny","anrosa-store-com","1650","","TRUE","TRUE","","","","","","","","","","","","","","kg","","1402.5",""
