Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Size and Fit (product.metafields.custom.size_and_fit),Color (product.metafields.shopify.color-pattern),Size (product.metafields.shopify.size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / European Union,Price / European Union,Compare At Price / European Union,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
li-windproof,water-repellent</li>,"",Monostate,,"","",false,Title,Default Title,,,,,,,,,0.0,,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,,,,lb,,,true,,,true,,,true,,,active
sucre-choco-kimera-leche,SUCRE CHOCO KIMERA LECHE,SUCRE CHOCO KIMERA LECHE ,CHIE MIHARA,,CALZATURE,"Convictional, Dolci Trame API, monostate-dolci-trame",false,Color,MULTI,,Size,37,,,,,CHIEMIHARA-KAMEL-MULTI-37-1001861700013,0.0,shopify,deny,manual,360.00,,true,true,,,,,1001861700013,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/05122025_026.jpg?v=1771611500,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/05122025_027.jpg?v=1771611500,lb,,288.00,true,,,true,,,true,,,active
sucre-choco-kimera-leche,,,,,,,,,MULTI,,,38,,,,,CHIEMIHARA-KAMEL-MULTI-38-1001861700024,0.0,shopify,deny,manual,360.00,,true,true,,,,,1001861700024,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/05122025_027.jpg?v=1771611500,2,"",,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/05122025_029.jpg?v=1771611500,lb,,288.00,,,,,,,,,,
sucre-choco-kimera-leche,,,,,,,,,MULTI,,,"38,5",,,,,CHIEMIHARA-KAMEL-MULTI-385-1001861700032,0.0,shopify,deny,manual,360.00,,true,true,,,,,1001861700032,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/05122025_028.jpg?v=1771611500,3,"",,,,,,,,,,,,lb,,288.00,,,,,,,,,,
sucre-choco-kimera-leche,,,,,,,,,MULTI,,,39,,,,,CHIEMIHARA-KAMEL-MULTI-39-1001861700043,0.0,shopify,deny,manual,360.00,,true,true,,,,,1001861700043,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/05122025_029.jpg?v=1771611500,4,"",,,,,,,,,,,,lb,,288.00,,,,,,,,,,
sucre-choco-kimera-leche,,,,,,,,,MULTI,,,40,,,,,CHIEMIHARA-KAMEL-MULTI-40-1001861700050,0.0,shopify,deny,manual,360.00,,true,true,,,,,1001861700050,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/05122025_028.jpg?v=1771611500,lb,,288.00,,,,,,,,,,
samsoe-samsoe-gonna-samiley-trek,SAMSOE SAMSOE GONNA SAMILEY TREK,"<p>Gonna Samiley</p>
<p><span>96% Recycled Viscose, 4% Elastane</span></p>
<p><span>Gonna midi al polpaccio con vita elasticizzata</span></p>",SAMSOE SAMSOE,,gonna,"Abbigliamento, Apparel & Accessories > Clothing, Convictional, DONNA, GONNA, monostate-il-sellaio, Nuovi Arrivi, SAMSOE SAMSOE",false,Colore,OVERLAND TREK,,Taglia,S,,Stagione,PE26,,723F25300078PE26,0.0,shopify,deny,manual,130.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/20511_F25300078-170619TCX-10-2400.jpg?v=1771611499,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/20511_F25300078-170619TCX-10-2400.jpg?v=1771611499,lb,,110.50,true,,,true,,,true,,,active
samsoe-samsoe-gonna-samiley-trek,,,,,,,,,OVERLAND TREK,,,M,,,PE26,,723F25300078PE26,0.0,shopify,deny,manual,130.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/20511_4506e23169-f25300078-170619tcx-01-2400.jpg?v=1771611499,2,"",,,,,,,,,,,,lb,,110.50,,,,,,,,,,
samsoe-samsoe-gonna-samiley-trek,,,,,,,,,OVERLAND TREK,,,L,,,PE26,,723F25300078PE26,0.0,shopify,deny,manual,130.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/ret.jpg?v=1771611499,3,"",,,,,,,,,,,,lb,,110.50,,,,,,,,,,
samsoe-samsoe-abito-saskylar-denim-blue,SAMSOE SAMSOE ABITO SASKYLAR DENIM BLUE,"<p>Abito Saskylar</p>
<p><span>100% TENCEL™ Lyocell</span></p>
<p><span>Abito lungo senza maniche, scollo a V </span></p>",SAMSOE SAMSOE,,abito,"Abbigliamento, abito, Apparel & Accessories > Clothing, Convictional, DONNA, monostate-il-sellaio, Nuovi Arrivi, SAMSOE SAMSOE",false,Colore,MEDIUM DENIM BLUE,,Taglia,XS,,Stagione,PE26,,723F26100094PE26,0.0,shopify,deny,manual,180.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21777_F26100094-CLR002201-10-2400.jpg?v=1771611499,1,"",false,,,,,,,,,,https://cdn.shopify.com/s/files/1/0641/5804/0249/files/21777_F26100094-CLR002201-10-2400.jpg?v=1771611499,lb,,153.00,true,,,true,,,true,,,active
